hashtag,timestamp,text,lang
Putin,2018-05-27 11:24:24,RT @SportMailRu: Черчесов: После объявления заявки мне позвонил Глушаков https://t.co/HsZglfo7fv,ru
Putin,2018-05-27 11:06:40,RT @SportMailRu: Черчесов: После объявления заявки мне позвонил Глушаков https://t.co/HsZglfo7fv,ru
Putin,2018-05-27 10:44:08,Сборная России по футболу тренируется в полном составе https://t.co/EVJUHorQuv,ru
Putin,2018-05-27 10:07:00,Черчесов: После объявления заявки мне позвонил Глушаков https://t.co/HsZglfo7fv,ru
Putin,2018-05-27 08:45:12,#WorldCup-н урьдчилсан тойм хахахө https://t.co/tHmgRg7Xmo,ru
Putin,2018-05-27 08:44:09,Роман Нойштедтер: свой среди своих в сборной России по футболу https://t.co/qBCgIU4qL3,ru
Putin,2018-05-27 08:41:47,"RT @fifaworldcup_ru: Космическая «Самара Арена».🚀🏟️ Говорят, после #ЧМ2018🇷🇺 тут будут снимать следующие «Звездные войны».

Что надо знать…",ru
Putin,2018-05-27 08:31:18,"RT @fifaworldcup_ru: Космическая «Самара Арена».🚀🏟️ Говорят, после #ЧМ2018🇷🇺 тут будут снимать следующие «Звездные войны».

Что надо знать…",ru
Putin,2018-05-27 07:45:59,"В сборной Египта уверены, что Салах будет готов к ЧМ-2018 https://t.co/SrcviI1vKX",ru
Putin,2018-05-27 07:43:00,"Внимание, конкурс для владельцев билетов на матчи #ЧМ2018🇷🇺!

Примите участие в кампании по борьбе с изменениями кл… https://t.co/iEyYbGWAHm",ru
Putin,2018-05-27 03:59:19,"В сборной Египта уверены, что Салах будет готов к ЧМ-2018 https://t.co/x5tmUmqY1h",ru
Putin,2018-05-27 03:16:32,"RT @fifaworldcup_ru: Космическая «Самара Арена».🚀🏟️ Говорят, после #ЧМ2018🇷🇺 тут будут снимать следующие «Звездные войны».

Что надо знать…",ru
Putin,2018-05-27 03:11:00,"RT @fifaworldcup_ru: Космическая «Самара Арена».🚀🏟️ Говорят, после #ЧМ2018🇷🇺 тут будут снимать следующие «Звездные войны».

Что надо знать…",ru
Putin,2018-05-26 23:09:59,"Врач сборной Египта: Салах получил растяжение и, скорее всего, сможет сыграть на ЧМ-2018 https://t.co/jElRpvFxTG",ru
Putin,2018-05-26 23:09:58,"В сборной Египта уверены, что Салах будет готов к ЧМ-2018 https://t.co/jnmls29I2P",ru
Putin,2018-05-26 19:11:33,"RT @fifaworldcup_ru: Космическая «Самара Арена».🚀🏟️ Говорят, после #ЧМ2018🇷🇺 тут будут снимать следующие «Звездные войны».

Что надо знать…",ru
Putin,2018-05-26 18:49:43,"RT @fifaworldcup_ru: Космическая «Самара Арена».🚀🏟️ Говорят, после #ЧМ2018🇷🇺 тут будут снимать следующие «Звездные войны».

Что надо знать…",ru
Putin,2018-05-26 18:28:08,"RT @fifaworldcup_ru: Космическая «Самара Арена».🚀🏟️ Говорят, после #ЧМ2018🇷🇺 тут будут снимать следующие «Звездные войны».

Что надо знать…",ru
Putin,2018-05-26 18:25:24,"RT @fifaworldcup_ru: Космическая «Самара Арена».🚀🏟️ Говорят, после #ЧМ2018🇷🇺 тут будут снимать следующие «Звездные войны».

Что надо знать…",ru
Putin,2018-05-26 18:24:37,"RT @fifaworldcup_ru: Космическая «Самара Арена».🚀🏟️ Говорят, после #ЧМ2018🇷🇺 тут будут снимать следующие «Звездные войны».

Что надо знать…",ru
Putin,2018-05-26 18:24:09,"RT @fifaworldcup_ru: Космическая «Самара Арена».🚀🏟️ Говорят, после #ЧМ2018🇷🇺 тут будут снимать следующие «Звездные войны».

Что надо знать…",ru
Putin,2018-05-26 18:23:42,"RT @fifaworldcup_ru: Космическая «Самара Арена».🚀🏟️ Говорят, после #ЧМ2018🇷🇺 тут будут снимать следующие «Звездные войны».

Что надо знать…",ru
Putin,2018-05-26 18:09:44,"RT @fifaworldcup_ru: Космическая «Самара Арена».🚀🏟️ Говорят, после #ЧМ2018🇷🇺 тут будут снимать следующие «Звездные войны».

Что надо знать…",ru
Putin,2018-05-26 17:39:37,"RT @fifaworldcup_ru: Космическая «Самара Арена».🚀🏟️ Говорят, после #ЧМ2018🇷🇺 тут будут снимать следующие «Звездные войны».

Что надо знать…",ru
Putin,2018-05-26 17:39:21,"RT @fifaworldcup_ru: Космическая «Самара Арена».🚀🏟️ Говорят, после #ЧМ2018🇷🇺 тут будут снимать следующие «Звездные войны».

Что надо знать…",ru
Putin,2018-05-26 17:36:36,"RT @fifaworldcup_ru: Космическая «Самара Арена».🚀🏟️ Говорят, после #ЧМ2018🇷🇺 тут будут снимать следующие «Звездные войны».

Что надо знать…",ru
Putin,2018-05-26 17:36:25,"RT @fifaworldcup_ru: Космическая «Самара Арена».🚀🏟️ Говорят, после #ЧМ2018🇷🇺 тут будут снимать следующие «Звездные войны».

Что надо знать…",ru
Putin,2018-05-26 17:34:59,"RT @fifaworldcup_ru: Космическая «Самара Арена».🚀🏟️ Говорят, после #ЧМ2018🇷🇺 тут будут снимать следующие «Звездные войны».

Что надо знать…",ru
Putin,2018-05-26 17:30:36,"RT @fifaworldcup_ru: Космическая «Самара Арена».🚀🏟️ Говорят, после #ЧМ2018🇷🇺 тут будут снимать следующие «Звездные войны».

Что надо знать…",ru
Putin,2018-05-26 17:22:51,"RT @fifaworldcup_ru: Космическая «Самара Арена».🚀🏟️ Говорят, после #ЧМ2018🇷🇺 тут будут снимать следующие «Звездные войны».

Что надо знать…",ru
Putin,2018-05-26 17:19:26,"RT @fifaworldcup_ru: Космическая «Самара Арена».🚀🏟️ Говорят, после #ЧМ2018🇷🇺 тут будут снимать следующие «Звездные войны».

Что надо знать…",ru
Putin,2018-05-26 17:16:09,"RT @fifaworldcup_ru: Космическая «Самара Арена».🚀🏟️ Говорят, после #ЧМ2018🇷🇺 тут будут снимать следующие «Звездные войны».

Что надо знать…",ru
Putin,2018-05-26 17:12:32,"Космическая «Самара Арена».🚀🏟️ Говорят, после #ЧМ2018🇷🇺 тут будут снимать следующие «Звездные войны».

Что надо зна… https://t.co/UaNMuXGGPw",ru
Putin,2018-05-26 17:04:12,"RT @fifaworldcup_ru: Площадки в самых красивых уголках каждого из 11 городов-организаторов!🇷🇺😍

Узнай, где пройдет Фестиваль болельщиков ФИ…",ru
Putin,2018-05-26 16:08:12,"RT @fifaworldcup_ru: 1⃣9⃣ дней до #ЧМ2018🇷🇺🏆

1⃣9⃣-й номер сборной Англии на ЧМ-1990 был не слишком известным игроком. К концу турнира в Ит…",ru
Putin,2018-05-26 15:48:39,"⚽ Анатомия гола с @Hyundai_Global ⚽

Блестящее командное взаимодействие сборной Аргентины🇦🇷 привело к голу Эстебана… https://t.co/u30grgeBnR",ru
Putin,2018-05-26 15:30:38,"RT @fifaworldcup_ru: Площадки в самых красивых уголках каждого из 11 городов-организаторов!🇷🇺😍

Узнай, где пройдет Фестиваль болельщиков ФИ…",ru
Putin,2018-05-26 15:15:47,"1⃣9⃣ дней до #ЧМ2018🇷🇺🏆

1⃣9⃣-й номер сборной Англии на ЧМ-1990 был не слишком известным игроком. К концу турнира в… https://t.co/6cMa09ceXx",ru
Putin,2018-05-26 15:05:37,"RT @fifaworldcup_ru: Площадки в самых красивых уголках каждого из 11 городов-организаторов!🇷🇺😍

Узнай, где пройдет Фестиваль болельщиков ФИ…",ru
Putin,2018-05-26 14:56:52,"RT @fifaworldcup_ru: Площадки в самых красивых уголках каждого из 11 городов-организаторов!🇷🇺😍

Узнай, где пройдет Фестиваль болельщиков ФИ…",ru
Putin,2018-05-26 14:41:49,"RT @fifaworldcup_ru: Площадки в самых красивых уголках каждого из 11 городов-организаторов!🇷🇺😍

Узнай, где пройдет Фестиваль болельщиков ФИ…",ru
Putin,2018-05-26 14:27:40,"RT @fifaworldcup_ru: Площадки в самых красивых уголках каждого из 11 городов-организаторов!🇷🇺😍

Узнай, где пройдет Фестиваль болельщиков ФИ…",ru
Putin,2018-05-26 13:25:11,"RT @fifaworldcup_ru: Площадки в самых красивых уголках каждого из 11 городов-организаторов!🇷🇺😍

Узнай, где пройдет Фестиваль болельщиков ФИ…",ru
Putin,2018-05-26 11:19:54,"RT @fifaworldcup_ru: Площадки в самых красивых уголках каждого из 11 городов-организаторов!🇷🇺😍

Узнай, где пройдет Фестиваль болельщиков ФИ…",ru
Putin,2018-05-26 11:13:32,"RT @fifaworldcup_ru: Площадки в самых красивых уголках каждого из 11 городов-организаторов!🇷🇺😍

Узнай, где пройдет Фестиваль болельщиков ФИ…",ru
Putin,2018-05-26 11:12:43,"Площадки в самых красивых уголках каждого из 11 городов-организаторов!🇷🇺😍

Узнай, где пройдет Фестиваль болельщиков… https://t.co/8VGkZvlQQf",ru
Putin,2018-05-26 11:04:12,Когда ты весь на мерче. #WorldCup #volunteers2018 https://t.co/uSPZjJ0GEl,ru
Putin,2018-05-26 10:03:09,Футболистам сборной Нигерии запретили секс русскими девушками https://t.co/OSdJVSSjki,ru
Putin,2018-05-26 09:21:12,"Оборонительная схема Бразилии : Маркиньос ➡️ Тиаго Сильва ➡️ Алисон 🙌🇧🇷
#GigantesPorNatureza #TreinodaSeleção… https://t.co/JNvHLPKjSY",ru
Putin,2018-05-26 09:06:34,"RT @fifaworldcup_ru: Пеле🇧🇷 или Марадона🇦🇷? Зидан🇫🇷 или Беккенбауэр🇩🇪? Кройф🇳🇱 или Эйсебиу🇵🇹?

Отдай свой голос🙌 и выбери лучшего игрока в…",ru
Putin,2018-05-26 08:44:33,"Пеле🇧🇷 или Марадона🇦🇷? Зидан🇫🇷 или Беккенбауэр🇩🇪? Кройф🇳🇱 или Эйсебиу🇵🇹?

Отдай свой голос🙌 и выбери лучшего игрока… https://t.co/SrqLDFGycq",ru
Putin,2018-05-26 07:12:29,"Франция — Ирландия: прогноз на матч 28.05.2018 
#Moscow #чемпионатмирапофутболу #Москва #матрешка #WorldCup… https://t.co/Z3nhW4FskA",ru
Putin,2018-05-26 07:10:28,"RT @fifaworldcup_ru: Уилл Смит, Ники Джем и Эра Истрефи исполнят Live It Up, Официальную песню #ЧМ2018, созданную диджеем и композитором Di…",ru
